Name,Type,Date,Download Speed,Upload Speed
AT&T,Cell,"12/15/21, 20:11",68.0 Mbps (8.50 MB/s),13.4 Mbps (1.68 MB/s)
AT&T,Cell,"12/15/21, 20:08",54.6 Mbps (6.83 MB/s),5.33 Mbps (667 kB/s)
long1950-5G,Wi-Fi,"12/15/21, 09:25",303 Mbps (37.9 MB/s),17.4 Mbps (2.17 MB/s)
AT&T,Cell,"12/10/21, 12:35",54.0 Mbps (6.76 MB/s),8.30 Mbps (1.03 MB/s)
AT&T,Cell,"12/8/21, 09:16",131 Mbps (16.4 MB/s),12.7 Mbps (1.59 MB/s)
long1950-5G,Wi-Fi,"12/6/21, 09:53",503 Mbps (62.9 MB/s),23.4 Mbps (2.93 MB/s)
AT&T,Cell,"11/30/21, 12:02",41.9 Mbps (5.24 MB/s),17.9 Mbps (2.23 MB/s)
long1950-5G,Wi-Fi,"11/30/21, 12:01",214 Mbps (26.7 MB/s),2.80 Mbps (350 kB/s)
long1950-5G,Wi-Fi,"11/20/21, 17:07",559 Mbps (69.9 MB/s),27.3 Mbps (3.41 MB/s)
AT&T,Cell,"11/1/21, 04:46",94.9 Mbps (11.8 MB/s),7.94 Mbps (992 kB/s)
long1950-5G,Wi-Fi,"10/29/21, 02:16",549 Mbps (68.7 MB/s),38.2 Mbps (4.78 MB/s)
long1950-5G,Wi-Fi,"10/28/21, 07:47",300 Mbps (37.5 MB/s),24.8 Mbps (3.10 MB/s)
AT&T,Cell,"09/23/21, 14:25",37.3 Mbps (4.66 MB/s),10.6 Mbps (1.32 MB/s)
long1950,Wi-Fi,"09/21/21, 15:47",63.8 Mbps (7.98 MB/s),4.24 Mbps (530 kB/s)
long1950-5G,Wi-Fi,"09/18/21, 22:38",570 Mbps (71.3 MB/s),27.0 Mbps (3.38 MB/s)
,Wi-Fi,"09/17/21, 17:33",167 Mbps (20.9 MB/s),12.9 Mbps (1.62 MB/s)
long1950,Wi-Fi,"09/6/21, 21:18",62.3 Mbps (7.79 MB/s),7.79 Mbps (973 kB/s)
AT&T,Cell,"09/6/21, 21:17",33.1 Mbps (4.14 MB/s),9.58 Mbps (1.19 MB/s)
long1950-5G,Wi-Fi,"09/4/21, 18:28",153 Mbps (19.1 MB/s),33.3 Mbps (4.16 MB/s)
long1950-5G,Wi-Fi,"09/4/21, 03:09",177 Mbps (22.1 MB/s),764 kbps (95.5 kB/s)
AT&T,Cell,"08/24/21, 06:19",384 Mbps (48.0 MB/s),22.8 Mbps (2.85 MB/s)
,Wi-Fi,"08/24/21, 02:27",80.6 Mbps (10.0 MB/s),5.89 Mbps (737 kB/s)
,Wi-Fi,"08/3/21, 01:09",33.7 Mbps (4.21 MB/s),15.0 Mbps (1.88 MB/s)
long1950-5G,Wi-Fi,"07/27/21, 08:02",168 Mbps (21.0 MB/s),15.6 Mbps (1.96 MB/s)
,Wi-Fi,"07/26/21, 20:57",95.2 Mbps (11.9 MB/s),3.67 Mbps (459 kB/s)
long1950-5G,Wi-Fi,"07/26/21, 20:55",374 Mbps (46.8 MB/s),11.0 Mbps (1.38 MB/s)
long1950-5G,Wi-Fi,"07/25/21, 21:21",310 Mbps (38.7 MB/s),27.0 Mbps (3.38 MB/s)
long1950-5G,Wi-Fi,"07/25/21, 21:20",522 Mbps (65.3 MB/s),27.4 Mbps (3.43 MB/s)
long1950-5G,Wi-Fi,"07/22/21, 20:49",49.1 Mbps (6.14 MB/s),44.8 Mbps (5.60 MB/s)
,Wi-Fi,"07/18/21, 21:28",49.9 kbps (6.24 kB/s),86.9 kbps (10.8 kB/s)
long1950-5G,Wi-Fi,"07/3/21, 20:39",393 Mbps (49.2 MB/s),21.5 Mbps (2.69 MB/s)
AT&T,Cell,"07/3/21, 02:17",115 Mbps (14.3 MB/s),17.0 Mbps (2.12 MB/s)
